month,total_streams
1987-07-01,1.0
1994-01-01,1.0
1998-04-01,178.0
1999-06-01,1.0
2000-01-01,1.0
2001-09-01,399.0
2002-05-01,1.0
2002-06-01,859.0
2002-08-01,1.0
2002-10-01,2.0
2003-01-01,2.0
2003-03-01,1.0
2004-01-01,974.0
2004-10-01,29.0
2004-11-01,1.0
2005-01-01,971.0
2005-05-01,1.0
2005-09-01,2.0
2006-01-01,2.0
2006-05-01,1.0
2007-01-01,963.0
2007-04-01,1.0
2007-11-01,1.0
2008-01-01,2458.0
2008-06-01,968.0
2008-12-01,923.0
2009-01-01,4415.0
2009-08-01,1.0
2009-09-01,1.0
2009-11-01,2.0
2009-12-01,178.0
2010-01-01,5950.0
2010-04-01,3.0
2010-05-01,2.0
2010-06-01,5.0
2010-07-01,536.0
2010-09-01,2112.0
2010-10-01,950.0
2011-01-01,6165.0
2011-02-01,420.0
2011-05-01,11.0
2011-07-01,1552.0
2011-08-01,10.0
2011-09-01,1.0
2011-10-01,3.0
2011-11-01,4157.0
2011-12-01,1311.0
2012-01-01,11632.0
2012-07-01,2.0
2012-09-01,1.0
2012-10-01,1500.0
2012-11-01,767.0
2012-12-01,2.0
2013-01-01,10947.0
2013-03-01,1172.0
2013-04-01,3.0
2013-05-01,587.0
2013-06-01,609.0
2013-07-01,628.0
2013-09-01,460.0
2013-10-01,1.0
2013-11-01,412.0
2013-12-01,1394.0
2014-01-01,13618.0
2014-02-01,562.0
2014-03-01,1238.0
2014-05-01,1.0
2014-06-01,951.0
2014-07-01,779.0
2014-08-01,396.0
2014-09-01,1813.0
2014-10-01,2731.0
2014-11-01,300.0
2014-12-01,901.0
2015-01-01,2067.0
2015-02-01,1191.0
2015-03-01,1920.0
2015-04-01,2065.0
2015-05-01,1167.0
2015-06-01,3270.0
2015-07-01,2679.0
2015-08-01,2197.0
2015-09-01,2363.0
2015-10-01,2227.0
2015-11-01,391.0
2015-12-01,1938.0
2016-01-01,5696.0
2016-02-01,1657.0
2016-03-01,4441.0
2016-04-01,2935.0
2016-05-01,1365.0
2016-06-01,1213.0
2016-07-01,3637.0
2016-08-01,3505.0
2016-09-01,3359.0
2016-10-01,6088.0
2016-11-01,2947.0
2016-12-01,5389.0
2017-01-01,3578.0
2017-02-01,5537.0
2017-03-01,4021.0
2017-04-01,4350.0
2017-05-01,4845.0
2017-06-01,7828.0
2017-07-01,2635.0
2017-08-01,7538.0
2017-09-01,3484.0
2017-10-01,7358.0
2017-11-01,8868.0
2017-12-01,6144.0
2018-01-01,7650.0
2018-02-01,7803.0
2018-03-01,7193.0
2018-04-01,4045.0
2018-05-01,9337.0
2018-06-01,6386.0
2018-07-01,5791.0
2018-08-01,11598.0
2018-09-01,5371.0
2018-10-01,7263.0
2018-11-01,9785.0
2018-12-01,8840.0
2019-01-01,6943.0
2019-02-01,8247.0
2019-03-01,10973.0
2019-04-01,8500.0
2019-05-01,13095.0
2019-06-01,13506.0
2019-07-01,8093.0
2019-08-01,9656.0
2019-09-01,7115.0
2019-10-01,8154.0
2019-11-01,7681.0
2019-12-01,9301.0
2020-01-01,11855.0
2020-02-01,16902.0
2020-03-01,9966.0
2020-04-01,7956.0
2020-05-01,8648.0
2020-06-01,5529.0
2020-07-01,16566.0
2020-08-01,6405.0
2020-09-01,6556.0
2020-10-01,15100.0
2020-11-01,13121.0
2020-12-01,5051.0
2021-01-01,6543.0
2021-02-01,14429.0
2021-03-01,6027.0
2021-04-01,12569.0
2021-05-01,9710.0
2021-06-01,11213.0
2021-07-01,7776.0
2021-08-01,10169.0
2021-09-01,11261.0
2021-10-01,9060.0
2021-11-01,12471.0
2021-12-01,5575.0
2022-01-01,8689.0
2022-02-01,10053.0
2022-03-01,7380.0
2022-04-01,14181.0
2022-05-01,25674.0
2022-06-01,14320.0
2022-07-01,12823.0
2022-08-01,11645.0
2022-09-01,13771.0
2022-10-01,16599.0
2022-11-01,13029.0
2022-12-01,14417.0
2023-01-01,12053.0
2023-02-01,12527.0
2023-03-01,19004.0
2023-04-01,10123.0
2023-05-01,13083.0
2023-06-01,19203.0
2023-07-01,16859.0
2023-08-01,13641.0
2023-09-01,12181.0
2023-10-01,14942.0
2023-11-01,11136.0
2023-12-01,6129.0
2024-01-01,6118.0
2024-02-01,7886.0
2024-03-01,11293.0
2024-04-01,15200.0
2024-05-01,7034.0
2024-06-01,1663.0
