Spotify Playlist Count,track_count
1.0,182
3.0,127
2.0,122
4.0,87
5.0,75
6.0,75
7.0,69
8.0,56
10.0,55
9.0,55
13.0,51
0.0,50
18.0,50
23.0,50
11.0,49
14.0,48
12.0,48
22.0,45
17.0,44
16.0,43
26.0,43
20.0,42
28.0,42
15.0,41
21.0,38
32.0,38
25.0,36
27.0,35
34.0,35
37.0,34
19.0,32
35.0,32
30.0,32
24.0,32
29.0,31
33.0,30
47.0,29
58.0,29
57.0,29
31.0,28
59.0,26
36.0,26
39.0,26
40.0,26
67.0,25
53.0,25
42.0,25
43.0,24
56.0,24
38.0,23
50.0,23
62.0,23
48.0,22
45.0,22
70.0,22
61.0,21
76.0,21
49.0,21
66.0,21
44.0,20
54.0,20
52.0,19
80.0,19
64.0,19
63.0,19
60.0,18
46.0,18
93.0,18
51.0,18
69.0,18
87.0,18
65.0,18
71.0,17
82.0,17
55.0,17
72.0,17
84.0,17
89.0,17
92.0,17
68.0,16
41.0,16
98.0,16
83.0,16
103.0,16
79.0,16
108.0,16
73.0,16
78.0,16
75.0,16
81.0,15
77.0,15
74.0,15
96.0,15
170.0,15
110.0,14
128.0,14
91.0,14
97.0,13
90.0,13
86.0,13
85.0,13
180.0,12
137.0,12
117.0,12
130.0,12
116.0,12
121.0,11
115.0,11
99.0,11
113.0,11
114.0,11
107.0,11
105.0,11
101.0,11
155.0,11
109.0,11
204.0,10
152.0,10
104.0,10
156.0,10
94.0,10
88.0,10
145.0,10
131.0,9
146.0,9
119.0,9
157.0,9
139.0,9
135.0,9
164.0,9
120.0,8
100.0,8
123.0,8
190.0,8
158.0,8
122.0,8
106.0,8
188.0,8
95.0,8
126.0,8
186.0,8
169.0,8
102.0,8
183.0,8
203.0,7
241.0,7
191.0,7
118.0,7
142.0,7
140.0,7
124.0,7
132.0,7
129.0,7
165.0,7
177.0,7
174.0,6
125.0,6
127.0,6
189.0,6
147.0,6
167.0,6
201.0,6
178.0,6
141.0,6
154.0,6
111.0,6
185.0,6
198.0,6
239.0,5
219.0,5
207.0,5
148.0,5
261.0,5
159.0,5
193.0,5
134.0,5
136.0,5
220.0,5
168.0,5
160.0,5
213.0,5
162.0,5
172.0,5
161.0,5
143.0,5
187.0,5
222.0,4
144.0,4
195.0,4
208.0,4
352.0,4
259.0,4
173.0,4
255.0,4
311.0,4
212.0,4
192.0,4
240.0,4
182.0,4
211.0,4
151.0,4
248.0,4
205.0,4
112.0,4
171.0,4
221.0,4
181.0,4
133.0,4
175.0,4
199.0,3
153.0,3
179.0,3
236.0,3
166.0,3
238.0,3
233.0,3
225.0,3
176.0,3
506.0,3
209.0,3
272.0,3
200.0,3
335.0,3
218.0,3
210.0,3
316.0,3
262.0,3
229.0,3
277.0,3
163.0,3
150.0,3
228.0,3
295.0,3
235.0,3
276.0,2
304.0,2
231.0,2
263.0,2
592.0,2
935.0,2
270.0,2
282.0,2
287.0,2
309.0,2
202.0,2
197.0,2
920.0,2
361.0,2
357.0,2
285.0,2
253.0,2
392.0,2
234.0,2
184.0,2
251.0,2
487.0,2
256.0,2
296.0,2
245.0,2
216.0,2
379.0,2
683.0,2
776.0,2
217.0,2
206.0,2
249.0,2
283.0,2
456.0,2
446.0,2
954.0,2
280.0,2
244.0,2
333.0,2
224.0,2
369.0,2
275.0,2
789.0,2
306.0,2
342.0,1
987.0,1
581.0,1
362.0,1
390.0,1
281.0,1
326.0,1
846.0,1
544.0,1
588.0,1
387.0,1
800.0,1
368.0,1
374.0,1
850.0,1
332.0,1
766.0,1
870.0,1
807.0,1
291.0,1
415.0,1
918.0,1
260.0,1
557.0,1
863.0,1
293.0,1
756.0,1
294.0,1
382.0,1
266.0,1
790.0,1
968.0,1
836.0,1
887.0,1
380.0,1
520.0,1
389.0,1
963.0,1
278.0,1
621.0,1
470.0,1
242.0,1
685.0,1
265.0,1
271.0,1
396.0,1
560.0,1
962.0,1
502.0,1
288.0,1
330.0,1
739.0,1
938.0,1
149.0,1
298.0,1
351.0,1
375.0,1
678.0,1
273.0,1
247.0,1
848.0,1
458.0,1
267.0,1
949.0,1
945.0,1
675.0,1
894.0,1
264.0,1
302.0,1
925.0,1
518.0,1
313.0,1
513.0,1
627.0,1
358.0,1
616.0,1
512.0,1
403.0,1
418.0,1
324.0,1
381.0,1
252.0,1
763.0,1
921.0,1
297.0,1
787.0,1
343.0,1
762.0,1
471.0,1
243.0,1
449.0,1
424.0,1
486.0,1
605.0,1
498.0,1
223.0,1
481.0,1
533.0,1
331.0,1
681.0,1
257.0,1
569.0,1
722.0,1
878.0,1
635.0,1
377.0,1
366.0,1
531.0,1
314.0,1
359.0,1
992.0,1
400.0,1
943.0,1
194.0,1
703.0,1
451.0,1
824.0,1
393.0,1
345.0,1
745.0,1
614.0,1
706.0,1
602.0,1
408.0,1
250.0,1
286.0,1
625.0,1
338.0,1
339.0,1
411.0,1
317.0,1
865.0,1
269.0,1
138.0,1
337.0,1
769.0,1
953.0,1
354.0,1
955.0,1
347.0,1
889.0,1
613.0,1
214.0,1
344.0,1
227.0,1
765.0,1
648.0,1
871.0,1
246.0,1
428.0,1
284.0,1
818.0,1
407.0,1
230.0,1
226.0,1
757.0,1
315.0,1
360.0,1
545.0,1
639.0,1
973.0,1
967.0,1
978.0,1
590.0,1
830.0,1
