Track,Artist,Spotify Streams,YouTube Views,TikTok Views
Best Day Of My Life,American Authors,999.0,349.0,329.0
vampire,Olivia Rodrigo,998.0,113.0,1.0
My Love Mine All Mine,Mitski,997.0,48.0,5.0
Benjamins Deli,JRitt,996.0,637.0,3.0
Wake Up in the Sky,Gucci Mane,996.0,614.0,424.0
Piece Of Your Heart,MEDUZA,995.0,464.0,1.0
I Was Never There,The Weeknd,995.0,283.0,175.0
Feel So Close - Radio Edit,Calvin Harris,991.0,7.0,502.0
LA NOCHE DE ANOCHE,Bad Bunny,990.0,354.0,229.0
Truth Hurts,Lizzo,990.0,111.0,548.0
